id,store_id,name,zipcode,address,latitude,longitude,Yelp,Google,Facebook
1,75002-a1,AT&T ,75002,"190 E Stacy Road Suite 214,Allen, TX",33.128358,-96.659222,3,2.9,3.1
2,75007-aa1,AT&T Authorized Retailer,75007,"104, 1855 Frankford Rd E, Carrollton, TX",33.000718,-96.887044,,3.7,
3,75013-aa1,AT&T Authorized Retailer,75013,"906 W McDermott Dr #320, Allen, TX ",33.102493,-96.683794,3,3.7,
4,75024-a1,AT&T,75024,"8700 Preston Rd #117, Plano, TX ",33.097463,-96.80153,1,3.3,3.3
5,75028-a1,AT&T ,75028,"6161 Long Prairie Rd Suite 100, Flower Mound, TX",33.069395,-97.083231,2,3.4,2.5
6,75034-a1,AT&T,75034,"3551 Preston Rd, Frisco, TX",33.108472,-96.806882,2.5,3,3.2
7,75034-a2,AT&T ,75034,"12021 Dallas Pkwy #500, Frisco, TX",33.177889,-96.841062,2.5,2.6,3.3
8,75034-aa1,AT&T Authorized Retailer,75034,"12244 FM423 #400, Frisco, TX",33.180015,-96.886471,,3.3,
9,75034-a3,AT&T ,75034,"2601 Preston Rd #2238, Frisco, TX",33.098593,-96.811778,2,3.7,4.2
10,75035-a1,AT&T,75035,"6111 Custer Rd #120, Frisco, TX ",33.127611,-96.733963,1,3,
11,75040-a1,AT&T ,75040,"5345 N Garland Ave Ste 320, Garland, TX",32.964503,-96.64444,1.5,3.4,2.5
12,75041-a1,AT&T,75041,"901 NW Hwy, Garland, TX",32.861792,-96.642515,1.5,2.9,4.8
13,75044-aa1,AT&T Authorized Retailer,75044,"3112 N Jupiter Rd Ste 301, Garland, TX ",32.945982,-96.680784,2,4.2,5
14,75056-a1,AT&T ,75056,"4770 State Highway 121,Lewisville, TX",33.065981,-96.885961,2.5,3,4
15,75057-aa1,AT&T Authorized Retailer,75057,"729 Hebron Pkwy, Lewisville, TX ",33.010687,-96.968757,,3.2,
16,75062-a1,AT&T ,75062,"2701 N Belt Line Rd, Irving, TX",32.843686,-96.992873,2,2.5,3.4
17,75063-a1,AT&T ,75063,"7800 N. Macarthur Boulevard, Suite 150, Irving, TX ",32.913069,-96.957978,2,3.3,3.6
18,75067-a1,AT&T ,75067,"2397 S Stemmons Fwy, Lewisville, TX ",33.006656,-96.972833,4,3.1,4
19,75070-a1,AT&T ,75070,"1681 N Central Expwy Suite 450, McKinney, TX",33.214188,-96.63808,4,3.3,1.6
20,75071-aa1,AT&T Authorized Retailer,75071,"116 S Custer Rd, McKinney, TX",33.202886,-96.733627,,3,
21,75075-a1,AT&T ,75075,"701 N Central Expy, Plano, TX ",33.009444,-96.708816,2,3.4,3.4
22,75080-aa1,AT&T Authorized Retailer,75080,"2160 N Coit Rd, Ste 141, Richardson, TX ",32.98034,-96.767464,,4.4,5
23,75093-a1,AT&T ,75093,"3300 Dallas Pkwy #100, Plano, TX",33.046302,-96.828519,2,2.8,1.5
24,75098-a1,AT&T ,75098,"3460 West Fm 544 Suite 500, Wylie, TX",33.01074,-96.593145,2,2.8,3.7
25,75150-a1,AT&T ,75150,"1645 N Town E Blvd #554, Mesquite, TX",32.811273,-96.622971,1.5,3.8,2.8
